id,SalePrice
1461,121079.0
1462,169130.69
1463,185614.36
1464,187797.66
1465,181975.83
1466,170386.66
1467,176829.56
1468,161177.98
1469,188368.06
1470,119317.625
1471,204257.02
1472,86718.375
1473,92362.48
1474,149015.95
1475,118966.64
1476,370158.4
1477,253322.02
1478,274134.28
1479,285279.47
1480,492534.3
1481,326031.56
1482,205387.2
1483,174456.05
1484,161514.97
1485,176288.22
1486,194782.25
1487,338985.22
1488,251937.66
1489,205440.1
1490,209236.27
1491,191730.06
1492,94795.22
1493,181839.98
1494,305102.28
1495,290877.25
1496,236438.69
1497,185868.19
1498,157780.7
1499,151958.5
1500,134900.88
1501,166437.44
1502,131190.58
1503,285651.88
1504,241752.22
1505,231574.73
1506,183435.78
1507,245892.73
1508,192688.94
1509,161350.84
1510,143385.7
1511,142894.27
1512,165578.4
1513,132428.62
1514,155822.08
1515,220334.02
1516,159862.23
1517,160684.86
1518,138103.52
1519,220063.75
1520,138011.1
1521,138790.88
1522,168931.28
1523,112340.984
1524,128628.21
1525,126083.07
1526,120350.16
1527,96909.484
1528,137686.9
1529,151737.95
1530,173544.38
1531,110197.43
1532,97092.65
1533,145527.22
1534,124644.35
1535,155602.89
1536,108474.19
1537,62077.637
1538,166554.94
1539,210010.33
1540,79692.086
1541,137767.69
1542,152331.98
1543,219205.39
1544,81443.24
1545,108514.44
1546,130386.195
1547,129699.38
1548,132491.78
1549,111581.82
1550,136362.62
1551,119055.17
1552,142825.47
1553,150045.55
1554,115625.1
1555,167168.22
1556,87502.34
1557,114221.05
1558,91638.03
1559,98969.586
1560,131738.08
1561,129843.19
1562,127876.25
1563,121250.36
1564,152112.19
1565,142449.48
1566,246309.33
1567,77171.74
1568,233293.75
1569,128770.47
1570,125936.7
1571,124529.81
1572,150962.56
1573,244983.84
1574,106538.24
1575,214953.89
1576,212933.16
1577,194846.53
1578,145933.31
1579,147596.36
1580,194861.39
1581,150119.11
1582,128685.63
1583,339442.97
1584,226537.38
1585,143275.27
1586,71912.22
1587,100222.484
1588,146332.86
1589,99660.81
1590,135058.56
1591,97978.914
1592,126154.63
1593,119004.77
1594,117261.49
1595,106861.32
1596,251563.12
1597,187755.05
1598,208930.6
1599,177399.64
1600,174404.47
1601,62207.008
1602,102001.82
1603,84017.31
1604,258470.14
1605,242543.62
1606,173125.33
1607,165319.33
1608,213851.19
1609,192085.48
1610,145165.7
1611,139498.03
1612,163171.7
1613,162463.03
1614,113415.64
1615,81427.945
1616,77196.18
1617,88263.44
1618,126902.29
1619,117419.62
1620,167641.27
1621,136253.44
1622,139686.94
1623,284714.12
1624,207010.52
1625,132533.61
1626,170011.39
1627,188437.6
1628,271940.53
1629,179207.69
1630,377610.0
1631,217570.27
1632,246439.03
1633,163613.78
1634,179369.61
1635,176074.5
1636,156274.19
1637,195925.97
1638,208679.3
1639,187028.77
1640,261517.16
1641,182683.36
1642,214068.69
1643,229425.77
1644,225799.06
1645,193390.34
1646,156584.19
1647,169738.73
1648,128723.69
1649,135981.73
1650,111053.56
1651,124571.5
1652,93974.484
1653,93322.52
1654,151134.84
1655,150659.1
1656,142758.88
1657,152991.94
1658,138605.3
1659,135400.58
1660,147005.66
1661,481840.62
1662,392485.66
1663,404436.22
1664,453432.88
1665,289317.72
1666,314939.2
1667,395626.97
1668,313770.9
1669,293113.62
1670,357393.97
1671,255970.52
1672,490834.53
1673,295969.47
1674,256154.89
1675,182717.16
1676,183796.69
1677,213636.73
1678,483730.66
1679,362653.25
1680,339422.25
1681,239818.28
1682,299860.34
1683,177864.98
1684,177631.9
1685,173986.83
1686,166441.25
1687,163251.4
1688,193772.86
1689,197681.2
1690,195209.6
1691,175598.77
1692,275299.62
1693,156646.03
1694,183155.58
1695,170431.67
1696,289742.66
1697,175084.9
1698,389264.6
1699,317094.34
1700,239840.92
1701,269899.16
1702,252775.42
1703,256900.31
1704,296725.47
1705,229464.92
1706,444750.03
1707,214368.19
1708,202850.39
1709,282694.66
1710,218951.12
1711,249618.3
1712,279801.16
1713,279155.34
1714,222941.45
1715,201500.34
1716,188384.05
1717,187670.02
1718,147297.98
1719,202312.53
1720,235809.73
1721,184326.45
1722,137632.94
1723,153102.72
1724,212934.38
1725,229684.1
1726,170632.2
1727,149248.2
1728,182586.52
1729,158710.03
1730,154472.55
1731,126560.98
1732,131978.52
1733,118444.195
1734,105637.0
1735,129349.81
1736,117495.56
1737,363199.06
1738,215120.4
1739,238381.52
1740,208095.81
1741,185136.14
1742,166216.16
1743,180063.58
1744,294485.97
1745,194857.12
1746,211784.47
1747,228318.7
1748,209143.7
1749,148552.39
1750,134603.12
1751,233742.7
1752,122949.59
1753,143674.25
1754,202001.95
1755,163621.42
1756,128549.36
1757,123052.0
1758,141733.05
1759,170783.11
1760,167022.89
1761,146484.78
1762,172923.69
1763,174796.11
1764,113548.21
1765,130385.82
1766,172644.88
1767,212553.97
1768,141536.52
1769,187015.73
1770,144544.34
1771,131461.1
1772,136662.06
1773,127772.14
1774,143450.81
1775,141182.38
1776,129210.734
1777,109937.22
1778,141529.9
1779,114091.71
1780,181395.89
1781,132588.22
1782,75428.07
1783,130511.23
1784,98723.55
1785,116221.09
1786,162255.86
1787,163097.19
1788,59430.504
1789,92176.195
1790,79150.0
1791,183170.42
1792,148988.66
1793,137304.28
1794,146993.33
1795,144408.62
1796,122454.375
1797,123783.625
1798,121282.98
1799,121327.98
1800,120930.37
1801,123641.695
1802,146102.92
1803,151864.9
1804,136951.05
1805,138522.45
1806,120694.98
1807,126003.375
1808,123836.99
1809,114935.34
1810,139613.81
1811,93349.23
1812,101300.836
1813,122182.46
1814,89803.305
1815,56420.812
1816,88156.94
1817,106325.19
1818,136301.92
1819,122213.34
1820,67799.12
1821,108775.64
1822,144227.08
1823,53043.156
1824,132367.38
1825,136486.88
1826,100103.27
1827,100932.27
1828,140917.11
1829,115093.836
1830,139582.4
1831,164138.42
1832,91987.125
1833,139040.61
1834,121034.44
1835,132015.02
1836,136563.17
1837,94427.086
1838,119880.5
1839,85356.34
1840,134378.4
1841,138908.73
1842,81741.19
1843,128466.39
1844,134367.9
1845,143414.83
1846,160423.8
1847,163326.3
1848,57945.496
1849,118594.07
1850,119953.46
1851,152186.05
1852,129217.76
1853,123885.78
1854,174391.67
1855,143658.36
1856,216102.45
1857,163771.61
1858,142394.89
1859,121920.1
1860,145029.55
1861,120615.47
1862,274102.9
1863,270408.78
1864,270408.78
1865,322217.8
1866,303087.03
1867,240466.17
1868,315252.3
1869,201017.83
1870,233813.83
1871,243347.36
1872,169354.72
1873,231143.6
1874,141536.25
1875,214769.47
1876,186231.92
1877,217733.2
1878,200997.5
1879,132641.47
1880,134389.05
1881,230750.02
1882,256155.62
1883,191084.97
1884,203678.9
1885,247587.19
1886,312651.7
1887,214769.06
1888,288836.1
1889,158226.12
1890,120686.69
1891,141136.33
1892,107145.72
1893,119145.36
1894,126022.0
1895,145449.66
1896,129626.42
1897,118401.28
1898,117590.95
1899,151420.64
1900,144289.69
1901,170259.64
1902,152045.62
1903,204833.05
1904,139303.94
1905,194634.62
1906,142573.3
1907,190426.97
1908,107388.88
1909,127468.84
1910,117048.43
1911,234962.1
1912,346335.03
1913,152267.92
1914,68543.9
1915,298987.12
1916,56902.387
1917,280301.12
1918,138971.02
1919,162219.66
1920,150354.08
1921,389183.3
1922,299570.25
1923,201639.52
1924,229195.48
1925,210319.19
1926,409975.03
1927,131719.48
1928,159140.02
1929,120273.17
1930,129956.05
1931,144936.22
1932,134899.08
1933,170812.27
1934,183327.89
1935,164256.03
1936,183291.52
1937,179946.5
1938,172573.77
1939,244225.94
1940,186809.69
1941,173351.83
1942,178864.16
1943,196657.53
1944,321310.72
1945,350435.88
1946,130643.72
1947,300938.7
1948,157458.72
1949,242040.58
1950,183200.47
1951,273997.6
1952,211750.53
1953,159910.42
1954,196511.48
1955,138573.05
1956,279096.78
1957,155414.4
1958,317000.9
1959,147078.16
1960,116005.94
1961,117523.24
1962,91975.81
1963,98364.74
1964,108716.734
1965,142238.12
1966,148254.61
1967,281872.78
1968,444138.4
1969,381093.2
1970,492250.7
1971,446399.22
1972,384362.06
1973,257323.53
1974,319896.34
1975,469778.78
1976,277656.28
1977,346489.97
1978,381743.56
1979,334135.78
1980,194101.7
1981,361201.16
1982,233875.16
1983,206332.11
1984,164785.25
1985,219035.28
1986,225160.4
1987,168018.03
1988,174283.6
1989,194170.77
